备用字段,节点,数量,行为,资源名称,资源品质,活动类型,活动上线日期,活动下线日期,限时资源上线日期,限时资源到期日期,资源类型,价值,资源截图,季度,年份1,月,价值高低,月份,文本 4,父记录
金币抽奖券*5,2024 Paradox主题版本,5,主题活动完成每日任务可获得里程碑点数，累计点数获得奖励,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/05/31,2024/06/07,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（蓝色）常驻抽奖池2--抽奖券,
钻石抽奖券*5,2024 Paradox主题版本,5,,（黄色）常驻抽奖池1--抽奖券,其他,活跃,2024/05/31,2024/06/07,,,限时,0,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（黄色）常驻抽奖池1--抽奖券,
老宠物造型*1,2024 Paradox主题版本,1,,宠物皮肤,紫品（A+）,活跃,2024/05/31,2024/06/07,,,永久,100,image.png,2024年年2季度,2024年,2024年5月,局内--中低价值外显资源,5,紫品（A+）宠物皮肤,
A级限定名片栏*1,2024 Paradox主题版本,1,,背景卡（名片）,蓝品（A）,活跃,2024/05/31,2024/06/07,,,永久,,image.png,2024年年2季度,2024年,2024年5月,局外社交外显资源,5,蓝品（A）背景卡（名片）,
排位保护卡*2,2024 Paradox主题版本,2,,排位保护卡,其他,活跃,2024/06/01,2024/06/02,,,限时,,image.png,2024年年2季度,2024年,2024年6月,,6,其他排位保护卡,
登录1天：钻石抽奖券*3,2024 Paradox主题版本,3,登录1天,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/06/01,2024/06/02,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
武器抽奖券*5,2024 Paradox主题版本,5,,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/06/01,2024/06/02,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（橙色）常驻3合1抽奖池--抽奖券,
登录2天：武器抽奖券*5,2024 古尔邦节,5,登录2天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/06/01,2024/06/02,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（橙色）常驻3合1抽奖池--抽奖券,
橙色近战武器*1,2024 Paradox主题版本,1,,近战武器皮肤,橙品（S/SP）,付费,2024/06/01,2024/06/07,,,永久,500,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）近战武器皮肤,
蓝色角色皮肤*1,2024 Paradox主题版本,1,,角色完整皮肤,绿品（B）,付费,2024/06/01,2024/06/10,,,永久,,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,绿品（B）角色完整皮肤,
击杀20名敌人：A级手枪枪皮*1,2024 Paradox主题版本,1,击杀20名敌人,枪械皮肤,蓝品（A）,活跃,2024/06/01,2024/06/02,,,永久,500,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,蓝品（A）枪械皮肤,
橙色名片*1,2024 Paradox主题版本,1,,背景卡（名片）,橙品（S/SP）,付费,2024/06/01,2024/06/07,,,永久,,image.png,2024年年2季度,2024年,2024年6月,局外社交外显资源,6,橙品（S/SP）背景卡（名片）,
橙色头像*1,2024 Paradox主题版本,1,,头像,橙品（S/SP）,付费,2024/06/01,2024/06/07,,,永久,,image.png,2024年年2季度,2024年,2024年6月,局外社交外显资源,6,橙品（S/SP）头像,
击杀5名敌人：A级枪皮抽奖宝箱*2,2024 Paradox主题版本,2,击杀5名敌人,武器抽奖宝箱,其他,活跃,2024/06/01,2024/06/02,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他武器抽奖宝箱,
金币抽奖盒*2,2024 Paradox主题版本,2,,金币抽奖盒,其他,活跃,2024/06/01,2024/06/02,,,永久,0,image.png,2024年年2季度,2024年,2024年6月,,6,其他金币抽奖盒,
击杀10名敌人：A级枪皮抽奖宝箱*3,2024 Paradox主题版本,3,击杀10名敌人,武器抽奖宝箱,其他,活跃,2024/06/01,2024/06/02,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他武器抽奖宝箱,
钻石*300,2024 Paradox主题版本,300,,钻石,其他,付费,2024/06/01,2024/06/10,,,永久,1,image.png,2024年年2季度,2024年,2024年6月,,6,其他钻石,
排位保护卡*14,2024 古尔邦节,14,活动期间每日可以领取1张排位保护卡,排位保护卡,其他,活跃,2024/06/03,2024/06/16,,,限时,,image.png,2024年年2季度,2024年,2024年6月,,6,其他排位保护卡,
A级角色造型套装*1,2024 古尔邦节,1,每日产出10道具，限定任务产出30道具,角色完整皮肤,蓝品（A）,活跃,2024/06/03,2024/06/09,,,永久,500,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,蓝品（A）角色完整皮肤,
A级造型抽奖宝箱*1,2024 古尔邦节,1,,皮肤抽奖宝箱,其他,活跃,2024/06/03,2024/06/09,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
A级枪皮抽奖宝箱*1,2024 古尔邦节,1,,武器抽奖宝箱,其他,活跃,2024/06/03,2024/06/09,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他武器抽奖宝箱,
S级造型套装*2,2024 古尔邦节,2,23年自创IP潮牌角色造型返场，共计两款S级造型套装，全部抽取约需要100$,角色完整皮肤,橙品（S/SP）,付费,2024/06/03,2024/06/10,,,永久,2000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）角色完整皮肤,
金币抽奖箱*2,2024 古尔邦节,2,,金币抽奖盒,其他,活跃,2024/06/03,2024/06/09,,,永久,0,image.png,2024年年2季度,2024年,2024年6月,,6,其他金币抽奖盒,
全新A+级枪皮*1,2024 古尔邦节,1,用于钻石抽奖券消耗,枪械皮肤,紫品（A+）,付费,2024/06/05,2024/08/05,,,永久,1000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,紫品（A+）枪械皮肤,
钻石抽奖券*5,2024 古尔邦节,5,,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/06/07,2024/06/15,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
A级近战武器造型*1,2024 古尔邦节,1,,近战武器皮肤,蓝品（A）,活跃,2024/06/07,2024/06/15,,,永久,300,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,蓝品（A）近战武器皮肤,
A级限定名片栏*1,2024 古尔邦节,1,,背景卡（名片）,蓝品（A）,活跃,2024/06/07,2024/06/15,,,永久,,image.png,2024年年2季度,2024年,2024年6月,局外社交外显资源,6,蓝品（A）背景卡（名片）,
枪皮抽奖宝箱*1,2024 古尔邦节,1,,武器抽奖宝箱,其他,活跃,2024/06/07,2024/06/15,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他武器抽奖宝箱,
羊羔喷漆*1,2024 古尔邦节,1,,头像,紫品（A+）,活跃,2024/06/07,2024/06/15,,,永久,0,image.png,2024年年2季度,2024年,2024年6月,局外社交外显资源,6,紫品（A+）头像,
登录1天：钻石抽奖券*5,2024 古尔邦节,5,登录1天,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/06/08,2024/06/10,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
抽奖券*10,2024 古尔邦节,10,充值70钻石,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2024/06/08,2024/06/15,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（橙色）常驻3合1抽奖池--抽奖券,
常规S+枪皮*1,2024 古尔邦节,1,,枪械皮肤,橙品（S/SP）,付费,2024/06/08,2024/06/20,,,永久,2000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）枪械皮肤,
S级背包造型*1,2024 古尔邦节,1,充值140钻石,背包,橙品（S/SP）,付费,2024/06/08,2024/06/15,,,永久,300,image.png,2024年年2季度,2024年,2024年6月,局内--中低价值外显资源,6,橙品（S/SP）背包,
钻石*12,2024 古尔邦节,12,充值24钻石,钻石,其他,付费,2024/06/08,2024/06/15,,,永久,1,image.png,2024年年2季度,2024年,2024年6月,,6,其他钻石,
武器抽奖券*3,2024 古尔邦节,3,,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/06/10,2024/06/17,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（橙色）常驻3合1抽奖池--抽奖券,
永久A级枪皮*1,2024 古尔邦节,1,开黑25场,枪械皮肤,蓝品（A）,活跃,2024/06/10,2024/06/17,,,永久,500,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,蓝品（A）枪械皮肤,
A级武器抽奖宝箱*2,2024 古尔邦节,2,,武器抽奖宝箱,其他,活跃,2024/06/10,2024/06/17,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他武器抽奖宝箱,
B级造型套装抽奖宝箱*3,2024 古尔邦节,3,,皮肤抽奖宝箱,其他,活跃,2024/06/10,2024/06/17,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
23年球队联动造型返场橙色*1,2024 古尔邦节,1,保底约60美金,角色完整皮肤,橙品（S/SP）,付费,2024/06/11,2024/06/19,,,永久,2000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）角色完整皮肤,
23年球队联动造型返场紫色*2,2024 古尔邦节,2,,角色完整皮肤,紫品（A+）,付费,2024/06/11,2024/06/19,,,永久,1000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,紫品（A+）角色完整皮肤,
常规散件*4,2024 古尔邦节,4,单个期望值为10$,角色皮肤散件,紫品（A+）,付费,2024/06/14,2024/06/27,,,永久,400,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,紫品（A+）角色皮肤散件,
钻石抽奖券*3,2024 古尔邦节,3,登录,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/06/15,2024/06/16,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
限定抽奖券*10,2024 古尔邦节,10,充值140钻石,当期限时抽奖活动--抽奖券,其他,付费,2024/06/15,2024/06/22,,,限时,8,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他当期限时抽奖活动--抽奖券,
A级凝胶护盾造型*1,2024 古尔邦节,1,充值70钻石,墙皮,蓝品（A）,付费,2024/06/15,2024/06/22,,,永久,300,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,蓝品（A）墙皮,
12场：A级滑板造型*1,2024 古尔邦节,1,12场,飞行器,蓝品（A）,活跃,2024/06/15,2024/06/16,,,永久,300,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,蓝品（A）飞行器,
2场：A级造型抽奖宝箱*2,2024 古尔邦节,2,2场,皮肤抽奖宝箱,其他,活跃,2024/06/15,2024/06/16,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
6场：A级造型抽奖宝箱*2,2024 古尔邦节,2,6场,皮肤抽奖宝箱,其他,活跃,2024/06/15,2024/06/16,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
钻石*12,2024 古尔邦节,12,充值24钻石,钻石,其他,付费,2024/06/15,2024/06/22,,,永久,1,image.png,2024年年2季度,2024年,2024年6月,,6,其他钻石,
S级造型套装*1,2024 古尔邦节,1,,角色完整皮肤,橙品（S/SP）,付费,2024/06/18,2024/08/10,,,永久,2000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）角色完整皮肤,
橙色动作*1,2024 古尔邦节,1,宰牲节主题动作不放回抽奖，保底约30$,动作,橙品（S/SP）,付费,2024/06/19,2024/06/26,,,永久,500,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）动作,
紫色枪皮*1,2024 古尔邦节,1,,枪械皮肤,紫品（A+）,付费,2024/06/19,2024/06/26,,,永久,1000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,紫品（A+）枪械皮肤,
3天S级枪皮*1,2024 周年庆,1,登录7天,枪械皮肤,橙品（S/SP）,活跃,2024/06/20,2024/06/26,,,限时,,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）枪械皮肤,
钻石抽奖券*5,2024 周年庆,5,,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/06/20,2024/06/26,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
武器抽奖券*10,2024 周年庆,10,,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/06/20,2024/06/26,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（橙色）常驻3合1抽奖池--抽奖券,
15场：武器抽奖券*5,2024 周年庆,5,15场,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/06/22,2024/06/25,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（橙色）常驻3合1抽奖池--抽奖券,
武器抽奖券*10,2024 周年庆,10,充值70钻石,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2024/06/22,2024/06/28,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（橙色）常驻3合1抽奖池--抽奖券,
橙色造型*1,2024 周年庆,1,,角色完整皮肤,橙品（S/SP）,付费,2024/06/22,2024/06/29,,,永久,2000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）角色完整皮肤,
鹰队联动头套*1,2024 周年庆,1,充值140钻石,角色皮肤散件,紫品（A+）,付费,2024/06/22,2024/06/28,,,永久,400,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,紫品（A+）角色皮肤散件,
7场：A级枪皮抽奖宝箱*2,2024 周年庆,2,7场,武器抽奖宝箱,其他,活跃,2024/06/22,2024/06/25,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他武器抽奖宝箱,
游玩3场排位：B级造型套装抽奖宝箱*2,2024 周年庆,2,3场,皮肤抽奖宝箱,其他,活跃,2024/06/22,2024/06/25,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
钻石*12,2024 周年庆,12,充值24钻石,钻石,其他,付费,2024/06/22,2024/06/28,,,永久,1,image.png,2024年年2季度,2024年,2024年6月,,6,其他钻石,
橙色近战武器*1,2024 周年庆,1,,近战武器皮肤,橙品（S/SP）,付费,2024/06/24,2024/06/30,,,永久,500,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）近战武器皮肤,
紫色武器*1,2024 周年庆,1,,枪械皮肤,紫品（A+）,付费,2024/06/24,2024/06/30,,,永久,1000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,紫品（A+）枪械皮肤,
蓝色皮肤散件*1,2024 周年庆,1,,角色皮肤散件,蓝品（A）,付费,2024/06/24,2024/06/30,,,永久,200,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,蓝品（A）角色皮肤散件,
紫色皮肤散件*2,2024 周年庆,2,,角色皮肤散件,紫品（A+）,付费,2024/06/24,2024/06/30,,,永久,400,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,紫品（A+）角色皮肤散件,
紫色武器抽奖箱*4,2024 周年庆,4,,武器抽奖宝箱,其他,付费,2024/06/24,2024/06/30,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他武器抽奖宝箱,
抽奖券*4,2024 周年庆,4,使用新角色,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/06/26,2024/07/03,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
抽奖券*4,2024 周年庆,4,使用指定武器击杀,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/06/26,2024/07/03,,,限时,40,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
限时7天新角色体验卡*8,2024 周年庆,8,登录,英雄,其他,活跃,2024/06/26,2024/07/03,,,限时,,image.png,2024年年2季度,2024年,2024年6月,,6,其他英雄,
S级枪皮*1,2024 周年庆,1,保底约50$,枪械皮肤,橙品（S/SP）,付费,2024/06/26,2024/07/02,,,永久,2000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）枪械皮肤,
紫色枪皮*1,2024 周年庆,1,,枪械皮肤,紫品（A+）,付费,2024/06/26,2024/07/02,,,永久,1000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,紫品（A+）枪械皮肤,
A+角色造型套装*1,2024 周年庆,1,,角色完整皮肤,紫品（A+）,活跃,2024/06/26,2024/07/22,,,永久,1000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,紫品（A+）角色完整皮肤,
金币抽奖箱*2,2024 周年庆,2,,金币抽奖盒,其他,活跃,2024/06/26,2024/07/22,,,永久,0,image.png,2024年年2季度,2024年,2024年6月,,6,其他金币抽奖盒,
抽奖宝箱*3,2024 周年庆,3,,皮肤抽奖宝箱,其他,活跃,2024/06/26,2024/07/22,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
抽奖宝箱*3,2024 周年庆,3,,武器抽奖宝箱,其他,活跃,2024/06/26,2024/07/22,,,永久,40,image.png,2024年年2季度,2024年,2024年6月,盲盒类资源,6,其他武器抽奖宝箱,
限时语音包*1,2024 周年庆,1,,语音包,紫品（A+）,活跃,2024/06/28,2024/07/22,,,限时,,image.png,2024年年2季度,2024年,2024年6月,局外社交外显资源,6,紫品（A+）语音包,
抽奖券*8,2024 周年庆,8,,当期限时抽奖活动--抽奖券,其他,活跃,2024/06/28,2024/07/22,,,限时,8,image.png,2024年年2季度,2024年,2024年6月,抽奖券类资源,6,其他当期限时抽奖活动--抽奖券,
S级双形态造型*1,2024 周年庆,1,保底约60$,角色完整皮肤,橙品（S/SP）,付费,2024/06/28,2024/07/11,,,永久,2000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,橙品（S/SP）角色完整皮肤,
ALOK联动A+角色造型套装*1,2024 周年庆,1,,角色完整皮肤,紫品（A+）,活跃,2024/06/28,2024/07/22,,,永久,1000,image.png,2024年年2季度,2024年,2024年6月,局内--高价值外显资源,6,紫品（A+）角色完整皮肤,
A级降落伞造型*1,2024 周年庆,1,,降落伞,蓝品（A）,活跃,2024/06/28,2024/07/22,,,永久,50,image.png,2024年年2季度,2024年,2024年6月,局内--中低价值外显资源,6,蓝品（A）降落伞,
